GCVRZB;Sabor Romano [Braganca];BRAGANCA;Bargao_Henriques;41.695333;-6.642867;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2006/05/01;45;2;8;-9999999
GCJVQV;Water Mills;BRAGANCA;afonso_loureiro;41.398267;-6.373733;TRADITIONAL;REGULAR;2;4;AVAILABLE;2004/06/26;82;4;8;-9999999
GCZP2A;Chromite - FeOCr2O3 - DP/EC5;BRAGANCA;danieloliveira;41.802433;-6.88395;EARTHCACHE;NOT_CHOSEN;1;1.5;AVAILABLE;2006/12/05;62;2;2;838
GCMD9N;Calcada Romana e a Portuguesa;LEIRIA;olharapo;39.60951;-8.76735;TRADITIONAL;REGULAR;1.5;3;AVAILABLE;2005/01/02;289;5;2;372
GC11Z6V;Marco dos 4 Concelhos [ARC-VFR-CPV-GDM];AVEIRO;daraopedal;41.001783;-8.390133;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/04/06;90;1;5;460
GCA14F;Cave of Santa Margarida;SETUBAL;MAntunes;38.4703;-8.986567;TRADITIONAL;SMALL;2;2;AVAILABLE;2002/10/27;850;54;138;11
GCZCAW;eMula [Sintra];LISBOA;SUp3rFM & Cruella;38.765;-9.422833;PUZZLE;SMALL;3;2.5;AVAILABLE;2006/11/15;222;24;11;-9999999
GC10V1Z;A Grande Castanheira [Vinhais];BRAGANCA;Pinaster;41.8605;-7.026033;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/02/08;78;1;4;818
GCHRP5;Madrinha [Monchique];FARO;Torgut;37.309267;-8.611967;TRADITIONAL;REGULAR;3;2;AVAILABLE;2004/02/24;419;8;5;774
GCRM30;Santa Paleozoica [Valongo - pt+en];PORTO;caixeiros;41.1438;-8.467883;TRADITIONAL;SMALL;2;3;AVAILABLE;2005/12/10;197;5;7;347
GC16330;Eolo - Deus do vento[Coto do Boi-Geoparque Arouca];AVEIRO;daraopedal;40.8871;-8.229467;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/09/20;73;3;6;958
GC13HFZ;Vassouras de raposa;SANTAREM;juquinha;39.508683;-8.029917;TRADITIONAL;REGULAR;1;2;AVAILABLE;2007/06/10;130;0;0;-9999999
GC14NKV;Bureau de Change;FARO;cmma07;37.251117;-7.582683;TRADITIONAL;SMALL;1.5;3;AVAILABLE;2007/07/27;105;0;3;265
GC57A6;Convent of the Storks [Figueira da Foz];COIMBRA;rifkindsss;40.045983;-8.782417;TRADITIONAL;REGULAR;1;2.5;AVAILABLE;2002/05/12;576;2;50;21
GCXR5Z;Indiana Jones e o Comboio Fantasma [Viseu];VISEU;almeidara;40.641983;-8.01525;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2006/08/16;395;38;29;417
GC14Z2W;Santa Marta Hill;SANTAREM;sammendes;39.491167;-8.666467;MULTI;REGULAR;2;2;AVAILABLE;2007/08/06;150;9;5;176
GC16K7J;Da Oliveira a Penha II [Guimaraes];BRAGA;hfilipe;41.445583;-8.292517;MULTI;REGULAR;2.5;2;AVAILABLE;2006/04/30;249;13;12;205
GCT93C;Piago;VILA REAL;pascoa;41.674783;-7.321067;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/01/29;75;3;5;590
GC10VPJ;Penha do Meio-Dia - Montejunto;LISBOA;McPenha;39.18855;-9.05465;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/02/09;403;2;46;544
GC16QCW;The Secret;LISBOA;antunesn;38.731217;-9.1458;TRADITIONAL;MICRO;2;1;AVAILABLE;2007/10/16;2091;123;1;75
GCZKKP;Hike it! [Lagoa de Santo Andre];SETUBAL;FGV;38.09385;-8.782283;TRADITIONAL;MICRO;1;2;AVAILABLE;2006/11/21;329;43;6;7
GCVPTW;O Mar e a Terra;COIMBRA;miguelmjeronimo;40.202467;-8.892733;TRADITIONAL;MICRO;2;3;AVAILABLE;2006/04/28;300;37;11;176
GC173Q1;Nos e Mos ao Vento!!!;LEIRIA;Lusitana Paixao;39.556117;-9.083517;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/11/01;614;15;5;150
GC1020Z;GT Dino's Lunch Box [Sintra] [Lisbon};LISBOA;golden-team;38.808333;-9.481317;TRADITIONAL;LARGE;1.5;1.5;AVAILABLE;2006/12/29;387;9;17;57
GCF83C;A fronteira de Baixo [Castro Laboreiro];VIANA DO CASTELO;rob_geo;41.94855;-8.184467;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2003/04/12;88;7;11;571
GC13Y2K;Aqueduto da Amoreira - Elvas;PORTALEGRE;JorgeDraco & Anjo;38.878683;-7.171;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/06/26;776;28;10;297
GC13KZ4;Termas da Amieira;COIMBRA;Tres Marias;40.09736;-8.7476;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/06/13;381;5;19;11
GCVG5P;SHOW ME THE MONEY! A tribute to Alves dos Reis.;PORTALEGRE;Geografo;39.123817;-7.71955;TRADITIONAL;SMALL;2;1.5;AVAILABLE;2006/04/16;80;1;4;170
GC16ZKC;Igreja Matriz da Golega;SANTAREM;sammendes;39.4018;-8.487067;TRADITIONAL;NOT_CHOSEN;1.5;1.5;AVAILABLE;2007/10/26;756;21;3;-9999999
GC14M5D;Bonjoia Heraldic Riddle;PORTO;kidloco;41.152683;-8.5762;PUZZLE;SMALL;3;1.5;AVAILABLE;2007/07/26;229;8;7;39
GC10YAH;Serra do Caldeirao [S.B. Alportel];FARO;Torgut;37.211633;-7.893733;MULTI;REGULAR;3;3;AVAILABLE;2007/02/19;50;8;7;463
GCZ85M;Alte la baixo [Alte];FARO;& Company;37.231633;-8.179467;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/11/01;527;29;69;150
GC11JB8;Moinho Ruivo [A-dos-Ruivos - Bombarral];LEIRIA;hulkman;39.281083;-9.117533;MULTI;SMALL;2;2;AVAILABLE;2007/03/19;210;10;2;-9999999
